Ano,ICMS_bruto_ES_R,ICMS_liquido_ES_R,RBR_BR_R,Deflator_INPC,RPC_ES_R,observacao
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
2023,,,,,,
2024,,,,,,
2025,,,,1,,ano base preliminar
